sizes;naive;better;blas
2;0.000003;0.000002;0.000014
2;0.000002;0.000002;0.000001
2;0.000002;0.000002;0.000000
2;0.000001;0.000002;0.000000
2;0.000002;0.000002;0.000001
2;0.000001;0.000001;0.000001
2;0.000002;0.000002;0.000001
2;0.000001;0.000002;0.000000
2;0.000001;0.000001;0.000001
2;0.000001;0.000002;0.000001
10;0.000118;0.000113;0.000010
10;0.000112;0.000113;0.000010
10;0.000112;0.000117;0.000010
10;0.000112;0.000113;0.000009
10;0.000112;0.000113;0.000014
10;0.000113;0.000114;0.000010
10;0.000112;0.000114;0.000010
10;0.000113;0.000119;0.000011
10;0.000113;0.000114;0.000009
10;0.000114;0.000114;0.000014
50;0.006585;0.004089;0.000153
50;0.004024;0.004067;0.000153
50;0.004018;0.004055;0.000154
50;0.004937;0.004115;0.000136
50;0.003344;0.003365;0.000137
50;0.003279;0.003219;0.000107
50;0.002956;0.002880;0.000108
50;0.003711;0.002869;0.000141
50;0.002910;0.002905;0.000108
50;0.002840;0.003246;0.000129
100;0.025129;0.025609;0.000736
100;0.022642;0.023246;0.000647
100;0.022689;0.022903;0.000637
100;0.025717;0.022889;0.000647
100;0.022677;0.022763;0.000671
100;0.022498;0.022855;0.000643
100;0.022558;0.022705;0.000640
100;0.022447;0.022872;0.000642
100;0.022751;0.022832;0.000644
100;0.022462;0.022831;0.000639
150;0.079100;0.077534;0.001959
150;0.076088;0.076721;0.001962
150;0.076380;0.076940;0.001986
150;0.076367;0.077467;0.002024
150;0.075918;0.077010;0.001977
150;0.078788;0.080813;0.002220
150;0.076534;0.076801;0.001970
150;0.076695;0.076903;0.001975
150;0.076115;0.077377;0.001963
150;0.083900;0.087922;0.002280
200;0.186068;0.184308;0.004681
200;0.183234;0.183991;0.004692
200;0.193163;0.184090;0.004735
200;0.182414;0.184150;0.004617
200;0.187955;0.193929;0.004787
200;0.183527;0.186577;0.004626
200;0.182591;0.185503;0.004717
200;0.191980;0.193957;0.004755
200;0.183394;0.184627;0.004583
200;0.184796;0.185899;0.004592
300;0.626505;0.639431;0.014995
300;0.624067;0.631305;0.014924
300;0.641651;0.742814;0.017109
300;0.774912;0.635455;0.015492
300;0.703014;0.696656;0.015821
300;0.634592;0.643640;0.017391
300;0.637206;0.633598;0.014853
300;0.625356;0.631507;0.014863
300;0.625310;0.631978;0.015031
300;0.624398;0.636084;0.015053
