sizes;naive;better;blas
2;0.000003;0.000002;0.000014
2;0.000001;0.000002;0.000002
2;0.000001;0.000002;0.000001
2;0.000002;0.000002;0.000001
2;0.000002;0.000001;0.000001
2;0.000001;0.000001;0.000001
2;0.000001;0.000001;0.000001
2;0.000001;0.000001;0.000001
2;0.000001;0.000001;0.000000
2;0.000002;0.000002;0.000001
10;0.000118;0.000114;0.000011
10;0.000112;0.000114;0.000010
10;0.000113;0.000118;0.000009
10;0.000112;0.000113;0.000009
10;0.000113;0.000114;0.000013
10;0.000113;0.000114;0.000010
10;0.000113;0.000113;0.000010
10;0.000113;0.000119;0.000009
10;0.000113;0.000114;0.000010
10;0.000113;0.000113;0.000014
50;0.008782;0.003410;0.000125
50;0.003318;0.003582;0.000132
50;0.003728;0.003761;0.000137
50;0.003728;0.003781;0.000138
50;0.003896;0.004386;0.000180
50;0.003717;0.003763;0.000254
50;0.003789;0.003899;0.000222
50;0.003535;0.003324;0.000135
50;0.003293;0.003749;0.000126
50;0.003308;0.003310;0.000124
100;0.025958;0.027307;0.000796
100;0.026058;0.025715;0.000648
100;0.024200;0.023007;0.000644
100;0.022535;0.022764;0.000644
100;0.022493;0.022663;0.000642
100;0.022464;0.022776;0.000657
100;0.022825;0.022864;0.000643
100;0.022428;0.022741;0.000640
100;0.022612;0.022819;0.000642
100;0.022470;0.022680;0.000642
150;0.076119;0.076981;0.001981
150;0.076114;0.076846;0.002081
150;0.076343;0.076836;0.001965
150;0.076619;0.077429;0.002012
150;0.075949;0.076800;0.001987
150;0.076624;0.076955;0.001994
150;0.075998;0.077231;0.001991
150;0.083465;0.077097;0.001962
150;0.076289;0.077063;0.001984
150;0.083502;0.085731;0.002311
200;0.185914;0.184188;0.004632
200;0.182211;0.183739;0.004719
200;0.182416;0.183810;0.004607
200;0.182539;0.183715;0.004624
200;0.182662;0.184371;0.004734
200;0.194355;0.183737;0.004627
200;0.182598;0.183548;0.004706
200;0.182670;0.187364;0.004629
200;0.183143;0.184578;0.004644
200;0.182406;0.184052;0.004727
300;0.633024;0.631941;0.015553
300;0.624916;0.632414;0.014827
300;0.624304;0.631096;0.014867
300;0.624529;0.631742;0.014853
300;0.624956;0.630458;0.014941
300;0.625809;0.632879;0.014968
300;0.624916;0.631523;0.014764
300;0.624258;0.630860;0.014859
300;0.623836;0.632592;0.015335
300;0.624750;0.630701;0.014906
